isco_2digit,label
11,Chief executives and legislators
12,Administrative and commercial managers
13,Production and specialised services managers
14,"Hospitality, retail and other services managers"
21,Science and engineering professionals
22,Health professionals
23,Teaching professionals
24,Business and administration professionals
25,ICT professionals
26,"Legal, social and cultural professionals"
31,Science and engineering associate professionals
32,Health associate professionals
33,Business and administration associate professionals
34,"Legal, social and cultural associate professionals"
35,ICT technicians
41,General and keyboard clerks
42,Customer services clerks
43,Numerical and material recording clerks
44,Other clerical support workers
51,Personal service workers
52,Sales workers
53,Personal care workers
54,Protective services workers
61,Market-oriented skilled agricultural workers
62,"Market-oriented skilled forestry, fishery and hunting workers"
63,"Subsistence farmers, fishers, hunters and gatherers"
71,Building and related trades workers
72,"Metal, machinery and related trades workers"
73,Handicraft and printing workers
74,Electrical and electronic trades workers
75,"Food, wood, garment and other craft workers"
81,Stationary plant and machine operators
82,Assemblers
83,Drivers and mobile plant operators
91,Cleaners and helpers
92,"Agricultural, forestry and fishery labourers"
93,"Labourers in mining, construction, manufacturing and transport"
94,Food preparation assistants
95,Street and related sales and service workers
96,Refuse workers and other elementary workers
