"WFH_Exposure_Q","Mother","Post","absent_share","se","n"
1,0,0,0.097375908947202,0.00326498694665146,12652
1,0,1,0.118733509234828,0.00394647233299906,9854
1,1,0,0.15464145112035,0.00295317136564371,27179
1,1,1,0.168682282066268,0.00327537612463863,22243
2,0,0,0.0585845453806777,0.00237174898791839,12307
2,0,1,0.0638337526791539,0.00281727033743089,10731
2,1,0,0.0954633806432684,0.00240591881835712,27267
2,1,1,0.0977884359179323,0.00267052670708069,22518
3,0,0,0.057807889848104,0.00202052634244805,18302
3,0,1,0.0688046302858493,0.00240828209216811,16932
3,1,0,0.110541669951904,0.00258828733487229,25366
3,1,1,0.12864416707971,0.00292563257293298,22193
4,0,0,0.0611510791366906,0.00281531054732239,8896
4,0,1,0.0609112709832134,0.00302205701922863,8340
4,1,0,0.120880300590446,0.00330994611621079,18630
4,1,1,0.104271908631671,0.00310633509094215,18212
