"","hours_ddd_age_in.."
" ","Hours DDD, age-interacted"
"Dependent Var.:","WorkHoursCont"
"  "," "
"Constant","30.99*** (1.642)"
"Mother","-2.253*** (0.5629)"
"Post","0.9160** (0.2749)"
"WFH_Exposure","1.488 (4.147)"
"MatzavMishpachti2","2.909* (1.271)"
"MatzavMishpachti3","0.9801* (0.3856)"
"MatzavMishpachti4","-1.044* (0.4884)"
"MatzavMishpachti5","0.0849 (0.3385)"
"Dat2","2.303. (1.214)"
"Dat3","-1.420 (0.9368)"
"Dat4","-0.7883 (0.7472)"
"Dat5","2.033** (0.7388)"
"GilNK4","3.092*** (0.4575)"
"GilNK5","2.701*** (0.5645)"
"GilNK6","1.806* (0.7621)"
"GilNK7","0.0915 (0.9380)"
"MachozMegurim2","2.026*** (0.3225)"
"MachozMegurim3","2.083*** (0.2893)"
"MachozMegurim4","3.135*** (0.2230)"
"MachozMegurim5","2.991*** (0.2537)"
"MachozMegurim6","2.714*** (0.3015)"
"MachozMegurim7","-0.2809 (0.3614)"
"TeudaGvohaHigh School (no matriculation)","1.467*** (0.3817)"
"TeudaGvohaMatriculation (Bagrut)","3.079*** (0.6959)"
"TeudaGvohaPost-secondary, non-academic","2.567* (0.9611)"
"TeudaGvohaAcademic Degree (BA/MA/PhD)","4.850*** (1.257)"
"TeudaGvohaOther/No Certificate","1.891. (0.9712)"
"Mother x Post","-0.0004 (0.2849)"
"Mother x WFH_Exposure","-0.9955 (1.077)"
"Post x WFH_Exposure","-0.8357 (0.8566)"
"Mother x GilNK4","-2.083*** (0.4874)"
"Mother x GilNK5","-0.4644 (0.4929)"
"Mother x GilNK6","1.063* (0.5247)"
"Mother x GilNK7","1.337* (0.5957)"
"Mother x Post x WFH_Exposure","3.367** (0.9553)"
"________________________________________","__________________"
"S.E.: Clustered","by: MishlachYad_.."
"Observations","275,708"
"R2","0.04027"
"Adj. R2","0.04015"
