"","hours_ddd_reweig.."
" ","Hours DDD, reweighted"
"Dependent Var.:","WorkHoursCont"
"  "," "
"Constant","31.84*** (1.440)"
"Mother","-1.485*** (0.3385)"
"Post","-0.4037 (0.3846)"
"WFH_Exposure","1.514 (3.823)"
"MatzavMishpachti2","2.737. (1.461)"
"MatzavMishpachti3","0.8604. (0.4286)"
"MatzavMishpachti4","-1.483* (0.5946)"
"MatzavMishpachti5","0.3417 (0.3252)"
"Dat2","2.335. (1.313)"
"Dat3","-1.812* (0.8638)"
"Dat4","-1.243 (0.7518)"
"Dat5","1.485. (0.7874)"
"GilNK4","1.684*** (0.2064)"
"GilNK5","1.912*** (0.4197)"
"GilNK6","2.111*** (0.5399)"
"GilNK7","0.8147 (0.6947)"
"MachozMegurim2","1.892*** (0.3909)"
"MachozMegurim3","2.126*** (0.3600)"
"MachozMegurim4","3.131*** (0.2970)"
"MachozMegurim5","3.025*** (0.3017)"
"MachozMegurim6","2.675*** (0.4087)"
"MachozMegurim7","0.0515 (0.3537)"
"TeudaGvohaHigh School (no matriculation)","1.710*** (0.4734)"
"TeudaGvohaMatriculation (Bagrut)","3.433*** (0.7351)"
"TeudaGvohaPost-secondary, non-academic","3.071** (0.9065)"
"TeudaGvohaAcademic Degree (BA/MA/PhD)","5.473*** (1.187)"
"TeudaGvohaOther/No Certificate","1.827. (1.081)"
"Mother x Post","0.0880 (0.3866)"
"Mother x WFH_Exposure","-1.607. (0.8015)"
"Post x WFH_Exposure","-0.1319 (1.093)"
"Mother x Post x WFH_Exposure","2.597* (1.050)"
"________________________________________","__________________"
"S.E.: Clustered","by: MishlachYad_.."
"Observations","242,552"
"R2","0.04469"
"Adj. R2","0.04457"
