"","reg_ddd"
" ","Employed (DDD)"
"Dependent Var.:","Employed"
"  "," "
"Constant","0.8378*** (0.0142)"
"Mother","-0.0060 (0.0051)"
"Post","-0.0179** (0.0051)"
"WFH_Exposure","-0.0060 (0.0111)"
"MatzavMishpachti2","0.0269* (0.0119)"
"MatzavMishpachti3","-0.0093** (0.0029)"
"MatzavMishpachti4","-0.0054 (0.0070)"
"MatzavMishpachti5","-0.0165** (0.0054)"
"Dat2","0.0010 (0.0140)"
"Dat3","-0.0556*** (0.0094)"
"Dat4","-0.0597*** (0.0130)"
"Dat5","0.0131* (0.0058)"
"GilNK4","0.0157** (0.0058)"
"GilNK5","0.0420*** (0.0073)"
"GilNK6","0.0533*** (0.0082)"
"GilNK7","0.0296** (0.0098)"
"MachozMegurim2","0.0015 (0.0047)"
"MachozMegurim3","0.0074. (0.0037)"
"MachozMegurim4","0.0117** (0.0035)"
"MachozMegurim5","0.0097* (0.0037)"
"MachozMegurim6","0.0010 (0.0044)"
"MachozMegurim7","0.0074. (0.0040)"
"TeudaGvohaHigh School (no matriculation)","0.0349* (0.0144)"
"TeudaGvohaMatriculation (Bagrut)","0.0485** (0.0154)"
"TeudaGvohaPost-secondary, non-academic","0.0663*** (0.0180)"
"TeudaGvohaAcademic Degree (BA/MA/PhD)","0.0827*** (0.0174)"
"TeudaGvohaOther/No Certificate","0.0326. (0.0190)"
"Mother x Post","0.0057 (0.0043)"
"Mother x WFH_Exposure","0.0023 (0.0163)"
"Post x WFH_Exposure","0.0284* (0.0125)"
"Mother x Post x WFH_Exposure","-0.0248* (0.0092)"
"________________________________________","___________________"
"S.E.: Clustered","by: MishlachYad_I.."
"Observations","297,878"
"R2","0.02029"
"Adj. R2","0.02020"
