"","reg_ddd"
" ","Employed (DDD)"
"Dependent Var.:","Employed"
"  "," "
"Constant","0.8332*** (0.0143)"
"Mother","-0.0167* (0.0078)"
"Post","-0.0112 (0.0079)"
"WFH_Exposure","0.0186 (0.0160)"
"MatzavMishpachti2","0.0275* (0.0118)"
"MatzavMishpachti3","-0.0077** (0.0027)"
"MatzavMishpachti4","-0.0041 (0.0074)"
"MatzavMishpachti5","-0.0152** (0.0055)"
"Dat2","0.0045 (0.0140)"
"Dat3","-0.0534*** (0.0086)"
"Dat4","-0.0570*** (0.0120)"
"Dat5","0.0195** (0.0067)"
"GilNK4","0.0156** (0.0057)"
"GilNK5","0.0417*** (0.0068)"
"GilNK6","0.0532*** (0.0077)"
"GilNK7","0.0301** (0.0095)"
"MachozMegurim2","0.0030 (0.0047)"
"MachozMegurim3","0.0089* (0.0038)"
"MachozMegurim4","0.0122** (0.0035)"
"MachozMegurim5","0.0097* (0.0040)"
"MachozMegurim6","0.0029 (0.0043)"
"MachozMegurim7","0.0068. (0.0037)"
"TeudaGvohaHigh School (no matriculation)","0.0311* (0.0131)"
"TeudaGvohaMatriculation (Bagrut)","0.0418** (0.0145)"
"TeudaGvohaPost-secondary, non-academic","0.0582** (0.0176)"
"TeudaGvohaAcademic Degree (BA/MA/PhD)","0.0702** (0.0202)"
"TeudaGvohaOther/No Certificate","0.0286 (0.0185)"
"Mother x Post","-0.0032 (0.0061)"
"Mother x WFH_Exposure","0.0196. (0.0115)"
"Post x WFH_Exposure","5e-6 (0.0109)"
"Mother x Post x WFH_Exposure","0.0044 (0.0086)"
"________________________________________","___________________"
"S.E.: Clustered","by: MishlachYad_I.."
"Observations","297,878"
"R2","0.02177"
"Adj. R2","0.02167"
