"","ddd_primary_addit..","ddd_primary_fe"
" ","Spec 1: additive controls","Spec 2: interacted cell FE"
"Dependent Var.:","Employed","Employed"
"  "," "," "
"Constant","0.5058*** (0.0268)","  "
"Mother","0.0075 (0.0219)","-0.0174 (0.0193)"
"Post","0.0405** (0.0137)","0.0409** (0.0134)"
"WFH_Exposure","0.0131 (0.0565)","0.0056 (0.0490)"
"MatzavMishpachti2","0.1421*** (0.0164)","0.1340*** (0.0157)"
"MatzavMishpachti3","0.0346*** (0.0061)","0.0334*** (0.0059)"
"MatzavMishpachti4","0.0118 (0.0114)","0.0098 (0.0116)"
"MatzavMishpachti5","-0.0022 (0.0058)","-9.88e-5 (0.0060)"
"Dat2","-0.0479*** (0.0139)","-0.0486*** (0.0135)"
"Dat3","-0.3622*** (0.0177)","-0.3455*** (0.0194)"
"Dat4","-0.2761*** (0.0231)","-0.2503*** (0.0257)"
"Dat5","-0.0031 (0.0108)","-0.0031 (0.0108)"
"GilNK4","0.0203 (0.0141)","  "
"GilNK5","0.0103 (0.0125)","  "
"GilNK6","0.0110 (0.0130)","  "
"GilNK7","-0.0558*** (0.0114)","  "
"MachozMegurim2","0.0690*** (0.0143)","  "
"MachozMegurim3","0.0847*** (0.0109)","  "
"MachozMegurim4","0.0970*** (0.0120)","  "
"MachozMegurim5","0.0853*** (0.0132)","  "
"MachozMegurim6","0.0698*** (0.0120)","  "
"MachozMegurim7","0.0783*** (0.0126)","  "
"TeudaGvohaHigh School (no matriculation)","0.1503*** (0.0184)","  "
"TeudaGvohaMatriculation (Bagrut)","0.2022*** (0.0170)","  "
"TeudaGvohaPost-secondary, non-academic","0.2733*** (0.0175)","  "
"TeudaGvohaAcademic Degree (BA/MA/PhD)","0.3270*** (0.0201)","  "
"TeudaGvohaOther/No Certificate","0.1741*** (0.0302)","  "
"Mother x Post","0.0065 (0.0168)","0.0044 (0.0166)"
"Mother x WFH_Exposure","-0.1404. (0.0803)","-0.0818 (0.0702)"
"Post x WFH_Exposure","-0.1555** (0.0566)","-0.1516** (0.0554)"
"Mother x GilNK4","-0.0070 (0.0158)","0.0083 (0.0145)"
"Mother x GilNK5","0.0311* (0.0144)","0.0453** (0.0141)"
"Mother x GilNK6","0.0301* (0.0142)","0.0447** (0.0138)"
"Mother x GilNK7","0.0226 (0.0167)","0.0341* (0.0164)"
"Mother x Post x WFH_Exposure","-0.0257 (0.0725)","-0.0194 (0.0722)"
"Fixed-Effects:","-------------------","-------------------"
"GilNK-TeudaGvoha-MachozMegurim","No","Yes"
"________________________________________","___________________","___________________"
"S.E.: Clustered","by: GilNK,TeudaGv..","by: GilNK,TeudaGv.."
"Observations","355,984","355,984"
"R2","0.22103","0.22952"
"Within R2","--","0.07043"
