"","reg_ddd"
" ","Employed (DDD)"
"Dependent Var.:","Employed"
"  "," "
"Constant","0.8365*** (0.0149)"
"Mother","-0.0166* (0.0061)"
"Post","-0.0138* (0.0060)"
"WFH_Exposure","0.0539 (0.0526)"
"MatzavMishpachti2","0.0278* (0.0119)"
"MatzavMishpachti3","-0.0082** (0.0028)"
"MatzavMishpachti4","-0.0050 (0.0071)"
"MatzavMishpachti5","-0.0159** (0.0055)"
"Dat2","0.0046 (0.0140)"
"Dat3","-0.0508*** (0.0089)"
"Dat4","-0.0563*** (0.0127)"
"Dat5","0.0174** (0.0063)"
"GilNK4","0.0154* (0.0057)"
"GilNK5","0.0419*** (0.0070)"
"GilNK6","0.0538*** (0.0079)"
"GilNK7","0.0308** (0.0098)"
"MachozMegurim2","0.0032 (0.0047)"
"MachozMegurim3","0.0083* (0.0037)"
"MachozMegurim4","0.0113** (0.0033)"
"MachozMegurim5","0.0088* (0.0038)"
"MachozMegurim6","0.0031 (0.0044)"
"MachozMegurim7","0.0074. (0.0039)"
"TeudaGvohaHigh School (no matriculation)","0.0324* (0.0134)"
"TeudaGvohaMatriculation (Bagrut)","0.0434** (0.0146)"
"TeudaGvohaPost-secondary, non-academic","0.0586** (0.0175)"
"TeudaGvohaAcademic Degree (BA/MA/PhD)","0.0694** (0.0197)"
"TeudaGvohaOther/No Certificate","0.0282 (0.0185)"
"Mother x Post","-0.0013 (0.0050)"
"Mother x WFH_Exposure","0.0803. (0.0404)"
"Post x WFH_Exposure","0.0166 (0.0313)"
"Mother x Post x WFH_Exposure","0.0022 (0.0261)"
"________________________________________","___________________"
"S.E.: Clustered","by: MishlachYad_I.."
"Observations","297,449"
"R2","0.02126"
"Adj. R2","0.02116"
