"","reg_ddd"
" ","WorkHoursCont (hours DDD)"
"Dependent Var.:","WorkHoursCont"
"  "," "
"Constant","30.51*** (1.570)"
"Mother","-1.897*** (0.3650)"
"Post","0.9153** (0.2746)"
"WFH_Exposure","1.831 (4.153)"
"MatzavMishpachti2","3.087* (1.343)"
"MatzavMishpachti3","0.9827* (0.3804)"
"MatzavMishpachti4","-1.048* (0.4847)"
"MatzavMishpachti5","0.5731 (0.3451)"
"Dat2","2.319. (1.239)"
"Dat3","-1.448 (0.9339)"
"Dat4","-0.7678 (0.7496)"
"Dat5","2.021** (0.7389)"
"GilNK4","1.607*** (0.2452)"
"GilNK5","2.371*** (0.4152)"
"GilNK6","2.654*** (0.5703)"
"GilNK7","0.6101 (0.8174)"
"MachozMegurim2","2.003*** (0.3247)"
"MachozMegurim3","2.071*** (0.2902)"
"MachozMegurim4","3.132*** (0.2272)"
"MachozMegurim5","3.052*** (0.2605)"
"MachozMegurim6","2.695*** (0.3008)"
"MachozMegurim7","-0.3063 (0.3612)"
"TeudaGvohaHigh School (no matriculation)","1.472*** (0.3812)"
"TeudaGvohaMatriculation (Bagrut)","3.090*** (0.6980)"
"TeudaGvohaPost-secondary, non-academic","2.574* (0.9590)"
"TeudaGvohaAcademic Degree (BA/MA/PhD)","4.904*** (1.256)"
"TeudaGvohaOther/No Certificate","1.901. (0.9661)"
"Mother x Post","0.0153 (0.2893)"
"Mother x WFH_Exposure","-1.429 (1.143)"
"Post x WFH_Exposure","-0.8668 (0.8280)"
"Mother x Post x WFH_Exposure","3.407*** (0.9302)"
"________________________________________","__________________"
"S.E.: Clustered","by: MishlachYad_.."
"Observations","275,708"
"R2","0.03906"
"Adj. R2","0.03896"
