"","reg_ddd"
" ","WorkHoursCont (hours DDD)"
"Dependent Var.:","WorkHoursCont"
"  "," "
"Constant","40.16*** (2.090)"
"Mother","-0.3437 (0.7403)"
"Post","-0.9377 (0.7296)"
"WFH_Exposure","3.069 (2.920)"
"MatzavMishpachti2","-0.2216 (1.107)"
"MatzavMishpachti3","0.9523 (0.6453)"
"MatzavMishpachti4","-1.355 (0.9293)"
"MatzavMishpachti5","1.306** (0.4076)"
"Dat2","-8.352* (3.106)"
"Dat3","-10.00** (3.358)"
"Dat4","-9.440** (3.378)"
"GilNK4","0.0344 (0.4640)"
"GilNK5","1.298*** (0.2638)"
"GilNK6","1.507** (0.4577)"
"GilNK7","1.012 (0.7192)"
"MachozMegurim2","2.013. (1.006)"
"MachozMegurim3","1.867. (1.027)"
"MachozMegurim4","2.342. (1.165)"
"MachozMegurim5","2.853* (1.327)"
"MachozMegurim6","2.395. (1.335)"
"TeudaGvohaHigh School (no matriculation)","1.639** (0.5406)"
"TeudaGvohaMatriculation (Bagrut)","3.119*** (0.8148)"
"TeudaGvohaPost-secondary, non-academic","3.870** (1.104)"
"TeudaGvohaAcademic Degree (BA/MA/PhD)","5.253** (1.538)"
"TeudaGvohaOther/No Certificate","-2.275 (1.381)"
"Mother x Post","-0.8442 (0.5509)"
"Mother x WFH_Exposure","-4.761* (1.902)"
"Post x WFH_Exposure","-4.053 (3.329)"
"Mother x Post x WFH_Exposure","6.006* (2.643)"
"________________________________________","_________________"
"S.E.: Clustered","by: MishlachYad.."
"Observations","26,164"
"R2","0.04158"
"Adj. R2","0.04055"
