"","reg_bin"
" ","WorkHoursCont (hours DDD, exposure quartiles)"
"Dependent Var.:","WorkHoursCont"
"  "," "
"Constant","31.58*** (2.051)"
"Mother","-1.527** (0.4523)"
"Post","-0.1305 (0.3666)"
"WFH_Exposure_Q = 2","2.571 (2.221)"
"WFH_Exposure_Q = 3","0.4838 (2.385)"
"WFH_Exposure_Q = 4","2.401 (2.539)"
"MatzavMishpachti2","3.243* (1.522)"
"MatzavMishpachti3","0.8454* (0.3538)"
"MatzavMishpachti4","-0.9060. (0.5175)"
"MatzavMishpachti5","0.1086 (0.2831)"
"Dat2","2.420. (1.434)"
"Dat3","-1.515 (0.9638)"
"Dat4","-0.9737 (0.7602)"
"Dat5","1.804** (0.6490)"
"GilNK4","1.557*** (0.2224)"
"GilNK5","1.964*** (0.3833)"
"GilNK6","2.136*** (0.5465)"
"GilNK7","0.3124 (0.7923)"
"MachozMegurim2","2.016*** (0.3011)"
"MachozMegurim3","2.022*** (0.2613)"
"MachozMegurim4","3.017*** (0.2091)"
"MachozMegurim5","2.839*** (0.2726)"
"MachozMegurim6","2.744*** (0.3024)"
"MachozMegurim7","-0.0319 (0.3469)"
"TeudaGvohaHigh School (no matriculation)","1.265** (0.4412)"
"TeudaGvohaMatriculation (Bagrut)","2.587*** (0.6304)"
"TeudaGvohaPost-secondary, non-academic","2.272** (0.7508)"
"TeudaGvohaAcademic Degree (BA/MA/PhD)","4.710*** (0.9568)"
"TeudaGvohaOther/No Certificate","1.374. (0.8094)"
"Mother x Post","-0.4720 (0.3459)"
"Mother x WFH_Exposure_Q = 2","-0.5005 (0.5279)"
"Mother x WFH_Exposure_Q = 3","0.0178 (0.5208)"
"Mother x WFH_Exposure_Q = 4","-0.7853 (0.6346)"
"Post x WFH_Exposure_Q = 2","-0.1431 (0.4298)"
"Post x WFH_Exposure_Q = 3","0.1041 (0.4201)"
"Post x WFH_Exposure_Q = 4","-0.0255 (0.5088)"
"Mother x Post x WFH_Exposure_Q = 2","0.7529 (0.4827)"
"Mother x Post x WFH_Exposure_Q = 3","0.5998 (0.4847)"
"Mother x Post x WFH_Exposure_Q = 4","1.844** (0.5946)"
"________________________________________","_________________"
"S.E.: Clustered","by: MishlachYad.."
"Observations","246,326"
"R2","0.04815"
"Adj. R2","0.04801"
