"","reg_ddd"
" ","WorkHoursCont (hours DDD)"
"Dependent Var.:","WorkHoursCont"
"  "," "
"Constant","32.36*** (1.492)"
"Mother","-1.420*** (0.3363)"
"Post","0.1661 (0.2664)"
"WFH_Exposure","-0.1479 (4.014)"
"MatzavMishpachti2","3.057* (1.330)"
"MatzavMishpachti3","0.8432* (0.4021)"
"MatzavMishpachti4","-1.043* (0.5129)"
"MatzavMishpachti5","0.2105 (0.3239)"
"Dat2","2.053 (1.257)"
"Dat3","-1.940* (0.8592)"
"Dat4","-1.411* (0.6786)"
"Dat5","1.517* (0.6911)"
"GilNK4","1.651*** (0.2506)"
"GilNK5","2.033*** (0.4467)"
"GilNK6","2.138*** (0.5721)"
"GilNK7","0.2615 (0.8083)"
"MachozMegurim2","1.926*** (0.3206)"
"MachozMegurim3","2.056*** (0.3291)"
"MachozMegurim4","3.121*** (0.2721)"
"MachozMegurim5","2.978*** (0.2814)"
"MachozMegurim6","2.610*** (0.3382)"
"MachozMegurim7","-0.1467 (0.3735)"
"TeudaGvohaHigh School (no matriculation)","1.567*** (0.3833)"
"TeudaGvohaMatriculation (Bagrut)","3.087*** (0.6698)"
"TeudaGvohaPost-secondary, non-academic","2.783** (0.8706)"
"TeudaGvohaAcademic Degree (BA/MA/PhD)","5.272*** (1.203)"
"TeudaGvohaOther/No Certificate","1.656. (0.8669)"
"Mother x Post","-0.6453. (0.3251)"
"Mother x WFH_Exposure","-1.531 (1.006)"
"Post x WFH_Exposure","-0.9977 (0.7542)"
"Mother x Post x WFH_Exposure","3.869*** (0.9785)"
"________________________________________","__________________"
"S.E.: Clustered","by: MishlachYad_.."
"Observations","246,326"
"R2","0.04074"
"Adj. R2","0.04062"
