"","model"
" ","WorkHoursCont (hours DDD, pre-period cell exposure)"
"Dependent Var.:","WorkHoursCont"
"  "," "
"Constant","31.75*** (0.5892)"
"Mother","-0.7819 (0.5114)"
"Post","-0.4599 (0.4580)"
"WFH_Exposure","1.539 (2.031)"
"MatzavMishpachti2","2.895*** (0.3659)"
"MatzavMishpachti3","0.8340*** (0.2005)"
"MatzavMishpachti4","-1.300** (0.4744)"
"MatzavMishpachti5","0.1112 (0.2492)"
"Dat2","1.803*** (0.3346)"
"Dat3","-1.931*** (0.2004)"
"Dat4","-1.359*** (0.3372)"
"Dat5","1.261*** (0.3170)"
"GilNK4","1.614*** (0.4309)"
"GilNK5","2.017*** (0.3176)"
"GilNK6","2.166*** (0.3220)"
"GilNK7","0.3257 (0.3955)"
"MachozMegurim2","2.015*** (0.3117)"
"MachozMegurim3","2.115*** (0.3276)"
"MachozMegurim4","3.176*** (0.3001)"
"MachozMegurim5","3.051*** (0.3797)"
"MachozMegurim6","2.700*** (0.3422)"
"MachozMegurim7","-0.1464 (0.4740)"
"TeudaGvohaHigh School (no matriculation)","1.807*** (0.3697)"
"TeudaGvohaMatriculation (Bagrut)","3.298*** (0.3673)"
"TeudaGvohaPost-secondary, non-academic","2.999*** (0.3634)"
"TeudaGvohaAcademic Degree (BA/MA/PhD)","5.492*** (0.3321)"
"TeudaGvohaOther/No Certificate","1.963*** (0.4476)"
"Mother x Post","-0.1136 (0.5789)"
"Mother x WFH_Exposure","-4.262 (2.654)"
"Post x WFH_Exposure","1.158 (1.818)"
"Mother x Post x WFH_Exposure","2.076 (2.371)"
"________________________________________","__________________"
"S.E.: Clustered","by: GilNK,TeudaG.."
"Observations","247,931"
"R2","0.04048"
"Adj. R2","0.04036"
