"","reg_ddd"
" ","WorkHoursCont (hours DDD)"
"Dependent Var.:","WorkHoursCont"
"  "," "
"Constant","31.93*** (1.511)"
"Mother","-1.483*** (0.3496)"
"Post","0.1964 (0.3036)"
"WFH_Exposure","1.158 (3.913)"
"MatzavMishpachti2","2.755* (1.300)"
"MatzavMishpachti3","0.8201. (0.4211)"
"MatzavMishpachti4","-1.240* (0.5260)"
"MatzavMishpachti5","0.1885 (0.3345)"
"Dat2","2.174. (1.272)"
"Dat3","-1.432 (0.8735)"
"Dat4","-1.021 (0.7234)"
"Dat5","1.582* (0.7072)"
"GilNK4","1.655*** (0.2679)"
"GilNK5","2.080*** (0.4409)"
"GilNK6","2.140*** (0.5808)"
"GilNK7","0.2792 (0.7995)"
"MachozMegurim2","2.019*** (0.3477)"
"MachozMegurim3","2.083*** (0.3549)"
"MachozMegurim4","3.154*** (0.2776)"
"MachozMegurim5","3.022*** (0.2912)"
"MachozMegurim6","2.672*** (0.3320)"
"MachozMegurim7","-0.0354 (0.3622)"
"TeudaGvohaHigh School (no matriculation)","1.720*** (0.3754)"
"TeudaGvohaMatriculation (Bagrut)","3.180*** (0.6739)"
"TeudaGvohaPost-secondary, non-academic","2.819** (0.8753)"
"TeudaGvohaAcademic Degree (BA/MA/PhD)","5.276*** (1.173)"
"TeudaGvohaOther/No Certificate","1.814. (0.9283)"
"Mother x Post","-0.6283 (0.4081)"
"Mother x WFH_Exposure","-1.272 (1.041)"
"Post x WFH_Exposure","-0.3889 (0.8974)"
"Mother x Post x WFH_Exposure","2.979* (1.170)"
"________________________________________","__________________"
"S.E.: Clustered","by: MishlachYad_.."
"Observations","208,833"
"R2","0.03969"
"Adj. R2","0.03955"
