"","reg_ddd"
" ","WorkHoursCont (hours DDD)"
"Dependent Var.:","WorkHoursCont"
"  "," "
"Constant","30.05*** (1.040)"
"Mother","-1.917** (0.5829)"
"Post","0.7686* (0.3264)"
"WFH_Exposure","2.519 (3.275)"
"MatzavMishpachti2","3.278* (1.314)"
"MatzavMishpachti3","1.092** (0.3225)"
"MatzavMishpachti4","-0.9185* (0.4099)"
"MatzavMishpachti5","0.6673. (0.3569)"
"Dat2","2.606. (1.299)"
"Dat3","-1.394* (0.6128)"
"Dat4","-0.6491 (0.5102)"
"Dat5","2.493*** (0.5508)"
"GilNK4","1.632*** (0.2658)"
"GilNK5","2.391*** (0.4230)"
"GilNK6","2.667*** (0.5137)"
"GilNK7","0.6470 (0.6810)"
"MachozMegurim2","2.083*** (0.3152)"
"MachozMegurim3","2.177*** (0.2498)"
"MachozMegurim4","3.183*** (0.2477)"
"MachozMegurim5","3.067*** (0.3310)"
"MachozMegurim6","2.804*** (0.2436)"
"MachozMegurim7","-0.3639 (0.3912)"
"TeudaGvohaHigh School (no matriculation)","1.182* (0.5540)"
"TeudaGvohaMatriculation (Bagrut)","2.610** (0.7661)"
"TeudaGvohaPost-secondary, non-academic","2.022** (0.6504)"
"TeudaGvohaAcademic Degree (BA/MA/PhD)","4.073*** (0.7627)"
"TeudaGvohaOther/No Certificate","1.618. (0.9187)"
"Mother x Post","0.2625 (0.4391)"
"Mother x WFH_Exposure","-0.6675 (0.8468)"
"Post x WFH_Exposure","-0.1175 (0.6952)"
"Mother x Post x WFH_Exposure","0.9404 (0.8649)"
"________________________________________","_________________"
"S.E.: Clustered","by: MishlachYad.."
"Observations","275,708"
"R2","0.04106"
"Adj. R2","0.04095"
