"","reg_ddd"
" ","FullTime (hours DDD)"
"Dependent Var.:","FullTime"
"  "," "
"Constant","0.4789*** (0.0648)"
"Mother","-0.0576*** (0.0132)"
"Post","-0.0058 (0.0089)"
"WFH_Exposure","0.0089 (0.1415)"
"MatzavMishpachti2","0.0879. (0.0488)"
"MatzavMishpachti3","0.0219 (0.0154)"
"MatzavMishpachti4","-0.0425* (0.0184)"
"MatzavMishpachti5","0.0037 (0.0134)"
"Dat2","0.0897* (0.0437)"
"Dat3","-0.0047 (0.0484)"
"Dat4","0.0170 (0.0368)"
"Dat5","0.0504* (0.0247)"
"GilNK4","0.0673*** (0.0108)"
"GilNK5","0.0767*** (0.0196)"
"GilNK6","0.0693* (0.0258)"
"GilNK7","0.0115 (0.0307)"
"MachozMegurim2","0.0735*** (0.0126)"
"MachozMegurim3","0.0650*** (0.0117)"
"MachozMegurim4","0.1097*** (0.0104)"
"MachozMegurim5","0.0973*** (0.0082)"
"MachozMegurim6","0.1017*** (0.0146)"
"MachozMegurim7","-0.0171 (0.0130)"
"TeudaGvohaHigh School (no matriculation)","0.0704*** (0.0180)"
"TeudaGvohaMatriculation (Bagrut)","0.1242*** (0.0280)"
"TeudaGvohaPost-secondary, non-academic","0.1041** (0.0311)"
"TeudaGvohaAcademic Degree (BA/MA/PhD)","0.1791*** (0.0378)"
"TeudaGvohaOther/No Certificate","0.0615. (0.0317)"
"Mother x Post","-0.0167 (0.0107)"
"Mother x WFH_Exposure","0.0070 (0.0419)"
"Post x WFH_Exposure","0.0142 (0.0244)"
"Mother x Post x WFH_Exposure","0.0964** (0.0291)"
"________________________________________","___________________"
"S.E.: Clustered","by: MishlachYad_I.."
"Observations","246,326"
"R2","0.02980"
"Adj. R2","0.02968"
