"","reg_ddd"
" ","WorkHoursCont (hours DDD)"
"Dependent Var.:","WorkHoursCont"
"  "," "
"Constant","31.09*** (1.560)"
"Mother","-1.411*** (0.3288)"
"Post","0.2319 (0.3172)"
"WFH_Exposure","0.8247 (4.108)"
"MatzavMishpachti2","-0.0069 (0.4969)"
"MatzavMishpachti3","0.9084* (0.4161)"
"MatzavMishpachti4","-1.564* (0.6491)"
"MatzavMishpachti5","0.0408 (0.4012)"
"GilNK4","1.748*** (0.3475)"
"GilNK5","2.001*** (0.5456)"
"GilNK6","2.273** (0.6457)"
"GilNK7","0.5042 (0.8099)"
"MachozMegurim2","2.272*** (0.3813)"
"MachozMegurim3","2.293*** (0.3958)"
"MachozMegurim4","3.194*** (0.2996)"
"MachozMegurim5","3.017*** (0.3277)"
"MachozMegurim6","2.762*** (0.4182)"
"MachozMegurim7","-0.1020 (0.2612)"
"TeudaGvohaHigh School (no matriculation)","2.115*** (0.5837)"
"TeudaGvohaMatriculation (Bagrut)","3.862*** (0.9967)"
"TeudaGvohaPost-secondary, non-academic","3.324* (1.237)"
"TeudaGvohaAcademic Degree (BA/MA/PhD)","6.011*** (1.567)"
"TeudaGvohaOther/No Certificate","2.908* (1.288)"
"Mother x Post","-0.4095 (0.3056)"
"Mother x WFH_Exposure","-0.7332 (1.295)"
"Post x WFH_Exposure","-0.5350 (0.9063)"
"Mother x Post x WFH_Exposure","2.847** (0.9125)"
"________________________________________","__________________"
"S.E.: Clustered","by: MishlachYad_.."
"Observations","209,727"
"R2","0.03535"
"Adj. R2","0.03523"
