"","reg_ddd"
" ","LongHours (hours DDD)"
"Dependent Var.:","LongHours"
"  "," "
"Constant","0.3826*** (0.0592)"
"Mother","-0.0771*** (0.0149)"
"Post","-0.0166 (0.0120)"
"WFH_Exposure","0.0574 (0.1724)"
"MatzavMishpachti2","0.1289* (0.0633)"
"MatzavMishpachti3","0.0293* (0.0133)"
"MatzavMishpachti4","-0.0351* (0.0160)"
"MatzavMishpachti5","0.0274. (0.0159)"
"Dat2","0.1011. (0.0544)"
"Dat3","-0.0138 (0.0358)"
"Dat4","0.0168 (0.0296)"
"Dat5","0.0741* (0.0303)"
"GilNK4","0.0678*** (0.0108)"
"GilNK5","0.0867*** (0.0181)"
"GilNK6","0.0795** (0.0240)"
"GilNK7","0.0062 (0.0326)"
"MachozMegurim2","0.0784*** (0.0137)"
"MachozMegurim3","0.0737*** (0.0118)"
"MachozMegurim4","0.1256*** (0.0113)"
"MachozMegurim5","0.1092*** (0.0120)"
"MachozMegurim6","0.1129*** (0.0136)"
"MachozMegurim7","-0.0126 (0.0152)"
"TeudaGvohaHigh School (no matriculation)","0.0350. (0.0182)"
"TeudaGvohaMatriculation (Bagrut)","0.1082*** (0.0290)"
"TeudaGvohaPost-secondary, non-academic","0.0756* (0.0350)"
"TeudaGvohaAcademic Degree (BA/MA/PhD)","0.1655** (0.0552)"
"TeudaGvohaOther/No Certificate","0.0398 (0.0337)"
"Mother x Post","-0.0138 (0.0140)"
"Mother x WFH_Exposure","-0.0112 (0.0416)"
"Post x WFH_Exposure","0.0314 (0.0332)"
"Mother x Post x WFH_Exposure","0.1073** (0.0380)"
"________________________________________","___________________"
"S.E.: Clustered","by: MishlachYad_I.."
"Observations","246,326"
"R2","0.03673"
"Adj. R2","0.03661"
