"","reg_ddd"
" ","WorkHoursCont (hours DDD)"
"Dependent Var.:","WorkHoursCont"
"  "," "
"Constant","32.08*** (1.579)"
"Mother","-1.506*** (0.3673)"
"Post","0.0704 (0.2908)"
"WFH_Exposure","1.469 (4.001)"
"MatzavMishpachti2","3.063* (1.191)"
"MatzavMishpachti3","0.9593* (0.4232)"
"MatzavMishpachti4","-1.046. (0.5212)"
"MatzavMishpachti5","0.3018 (0.3309)"
"Dat2","2.034 (1.254)"
"Dat3","-2.047* (0.9398)"
"Dat4","-1.430. (0.7240)"
"Dat5","1.625* (0.7256)"
"GilNK4","1.650*** (0.2774)"
"GilNK5","2.071*** (0.4620)"
"GilNK6","2.237*** (0.5916)"
"GilNK7","0.3478 (0.8489)"
"MachozMegurim2","2.036*** (0.3362)"
"MachozMegurim3","2.134*** (0.3377)"
"MachozMegurim4","3.190*** (0.2626)"
"MachozMegurim5","2.994*** (0.2779)"
"MachozMegurim6","2.683*** (0.3589)"
"MachozMegurim7","-0.1593 (0.3666)"
"TeudaGvohaHigh School (no matriculation)","1.595*** (0.3934)"
"TeudaGvohaMatriculation (Bagrut)","3.175*** (0.6955)"
"TeudaGvohaPost-secondary, non-academic","2.846** (0.9212)"
"TeudaGvohaAcademic Degree (BA/MA/PhD)","5.268*** (1.243)"
"TeudaGvohaOther/No Certificate","1.799. (0.9506)"
"Mother x Post","-0.5266 (0.3345)"
"Mother x WFH_Exposure","-1.170 (1.155)"
"Post x WFH_Exposure","-0.4525 (0.8887)"
"Mother x Post x WFH_Exposure","3.056** (1.059)"
"________________________________________","__________________"
"S.E.: Clustered","by: MishlachYad_.."
"Observations","232,785"
"R2","0.04240"
"Adj. R2","0.04228"
