"","reg_ddd"
" ","WorkHoursCont (hours DDD)"
"Dependent Var.:","WorkHoursCont"
"  "," "
"Constant","29.70*** (1.034)"
"Mother","-1.837*** (0.4697)"
"Post","0.8200** (0.2885)"
"WFH_Exposure","15.15* (6.458)"
"MatzavMishpachti2","3.472* (1.380)"
"MatzavMishpachti3","1.106** (0.3467)"
"MatzavMishpachti4","-0.9013. (0.4679)"
"MatzavMishpachti5","0.5942 (0.4084)"
"Dat2","2.840* (1.358)"
"Dat3","-1.139. (0.6499)"
"Dat4","-0.5067 (0.5565)"
"Dat5","2.605*** (0.6418)"
"GilNK4","1.624*** (0.2682)"
"GilNK5","2.464*** (0.3997)"
"GilNK6","2.810*** (0.4766)"
"GilNK7","0.8704 (0.6410)"
"MachozMegurim2","2.127*** (0.3150)"
"MachozMegurim3","2.157*** (0.3090)"
"MachozMegurim4","3.087*** (0.2929)"
"MachozMegurim5","2.908*** (0.3353)"
"MachozMegurim6","2.899*** (0.2297)"
"MachozMegurim7","-0.3456 (0.3998)"
"TeudaGvohaHigh School (no matriculation)","1.224** (0.3681)"
"TeudaGvohaMatriculation (Bagrut)","2.514*** (0.6065)"
"TeudaGvohaPost-secondary, non-academic","1.719* (0.8228)"
"TeudaGvohaAcademic Degree (BA/MA/PhD)","3.394*** (0.8279)"
"TeudaGvohaOther/No Certificate","1.412 (0.9122)"
"Mother x Post","-0.1173 (0.3158)"
"Mother x WFH_Exposure","-3.283 (2.795)"
"Post x WFH_Exposure","-1.382 (2.402)"
"Mother x Post x WFH_Exposure","6.416* (2.454)"
"________________________________________","__________________"
"S.E.: Clustered","by: MishlachYad_.."
"Observations","275,390"
"R2","0.04655"
"Adj. R2","0.04645"
