"","reg_sat"
" ","WorkHoursCont (hours DDD, saturated FE)"
"Dependent Var.:","WorkHoursCont"
"  "," "
"MatzavMishpachti2","4.175** (1.446)"
"MatzavMishpachti3","0.9879** (0.3003)"
"MatzavMishpachti4","-0.3955 (0.4074)"
"MatzavMishpachti5","0.0949 (0.2565)"
"Dat2","3.595* (1.411)"
"Dat3","0.2434 (0.6393)"
"Dat4","-0.0307 (0.5224)"
"Dat5","2.367*** (0.4938)"
"GilNK4","1.504*** (0.1771)"
"GilNK5","1.885*** (0.3054)"
"GilNK6","2.222*** (0.4106)"
"GilNK7","0.7122 (0.5848)"
"MachozMegurim2","1.563*** (0.2437)"
"MachozMegurim3","1.741*** (0.2172)"
"MachozMegurim4","2.389*** (0.1601)"
"MachozMegurim5","2.179*** (0.1977)"
"MachozMegurim6","2.470*** (0.2237)"
"MachozMegurim7","0.0196 (0.3623)"
"TeudaGvohaHigh School (no matriculation)","0.6618 (0.6950)"
"TeudaGvohaMatriculation (Bagrut)","1.119 (0.7100)"
"TeudaGvohaPost-secondary, non-academic","0.9124 (0.7858)"
"TeudaGvohaAcademic Degree (BA/MA/PhD)","2.913*** (0.7150)"
"TeudaGvohaOther/No Certificate","0.6968 (0.7281)"
"Mother x Post x WFH_Exposure","2.876** (0.9495)"
"Fixed-Effects:","-----------------"
"MishlachYad_ISCO_08_2-ShnatSeker","Yes"
"MishlachYad_ISCO_08_2-Mother","Yes"
"Mother-ShnatSeker","Yes"
"________________________________________","_________________"
"S.E.: Clustered","by: MishlachYad.."
"Observations","246,324"
"R2","0.13512"
"Within R2","0.02453"
