"","model"
" ","WorkHoursCont (external index + swapped-occupation terms)"
"Dependent Var.:","WorkHoursCont"
"  "," "
"Constant","31.98*** (1.091)"
"Mother","-1.472* (0.5628)"
"Post","0.1609 (0.3787)"
"WFH_Exposure","-0.3158 (3.732)"
"Swapped","2.605 (2.205)"
"MatzavMishpachti2","3.346* (1.322)"
"MatzavMishpachti3","0.9732** (0.3499)"
"MatzavMishpachti4","-0.8813. (0.4573)"
"MatzavMishpachti5","0.3304 (0.3308)"
"Dat2","2.462. (1.336)"
"Dat3","-1.790** (0.5632)"
"Dat4","-1.199* (0.4928)"
"Dat5","2.095*** (0.5535)"
"GilNK4","1.663*** (0.2590)"
"GilNK5","2.013*** (0.4490)"
"GilNK6","2.105*** (0.5240)"
"GilNK7","0.2587 (0.6680)"
"MachozMegurim2","1.984*** (0.3152)"
"MachozMegurim3","2.160*** (0.2963)"
"MachozMegurim4","3.100*** (0.3095)"
"MachozMegurim5","2.945*** (0.3613)"
"MachozMegurim6","2.697*** (0.2823)"
"MachozMegurim7","-0.2196 (0.3852)"
"TeudaGvohaHigh School (no matriculation)","1.238* (0.5206)"
"TeudaGvohaMatriculation (Bagrut)","2.470** (0.7330)"
"TeudaGvohaPost-secondary, non-academic","2.109** (0.6276)"
"TeudaGvohaAcademic Degree (BA/MA/PhD)","4.380*** (0.7692)"
"TeudaGvohaOther/No Certificate","1.323 (0.8056)"
"Mother x Post","-0.4630 (0.4901)"
"Mother x WFH_Exposure","-1.254 (1.175)"
"Post x WFH_Exposure","-0.3676 (0.9348)"
"Mother x Swapped","0.7141 (0.5324)"
"Post x Swapped","-0.0604 (0.5108)"
"Mother x Post x WFH_Exposure","2.339. (1.352)"
"Mother x Post x Swapped","-1.347 (0.9257)"
"________________________________________","_________________"
"S.E.: Clustered","by: MishlachYad.."
"Observations","246,326"
"R2","0.04940"
"Adj. R2","0.04927"
