"","reg_ddd"
" ","WorkHoursCont (hours DDD)"
"Dependent Var.:","WorkHoursCont"
"  "," "
"Constant","32.12*** (1.540)"
"Mother","-1.449*** (0.3512)"
"Post","0.0535 (0.2732)"
"WFH_Exposure","1.128 (3.912)"
"MatzavMishpachti2","2.986* (1.304)"
"MatzavMishpachti3","0.8381* (0.3971)"
"MatzavMishpachti4","-1.043* (0.5026)"
"MatzavMishpachti5","0.1778 (0.3137)"
"Dat2","2.072 (1.244)"
"Dat3","-1.866* (0.9132)"
"Dat4","-1.349. (0.7155)"
"Dat5","1.540* (0.6871)"
"GilNK4","1.637*** (0.2458)"
"GilNK5","2.031*** (0.4426)"
"GilNK6","2.158*** (0.5764)"
"GilNK7","0.3003 (0.8184)"
"MachozMegurim2","1.949*** (0.3172)"
"MachozMegurim3","2.048*** (0.3129)"
"MachozMegurim4","3.115*** (0.2525)"
"MachozMegurim5","2.947*** (0.2680)"
"MachozMegurim6","2.643*** (0.3393)"
"MachozMegurim7","-0.1230 (0.3609)"
"TeudaGvohaHigh School (no matriculation)","1.532*** (0.3942)"
"TeudaGvohaMatriculation (Bagrut)","3.057*** (0.6918)"
"TeudaGvohaPost-secondary, non-academic","2.737** (0.8922)"
"TeudaGvohaAcademic Degree (BA/MA/PhD)","5.173*** (1.178)"
"TeudaGvohaOther/No Certificate","1.627. (0.9031)"
"Mother x Post","-0.5385 (0.3364)"
"Mother x WFH_Exposure","-1.295 (1.053)"
"Post x WFH_Exposure","-0.5483 (0.8102)"
"Mother x Post x WFH_Exposure","3.224** (1.022)"
"________________________________________","__________________"
"S.E.: Clustered","by: MishlachYad_.."
"Observations","246,326"
"R2","0.04094"
"Adj. R2","0.04082"
