"","summary(hours_dd.."
" ","Hours DDD, two-way clustered"
"Dependent Var.:","WorkHoursCont"
"  "," "
"Constant","32.12*** (1.542)"
"Mother","-1.449*** (0.3529)"
"Post","0.0535 (0.2757)"
"WFH_Exposure","1.128 (3.912)"
"MatzavMishpachti2","2.986* (1.305)"
"MatzavMishpachti3","0.8381* (0.3982)"
"MatzavMishpachti4","-1.043* (0.5097)"
"MatzavMishpachti5","0.1778 (0.3153)"
"Dat2","2.072 (1.245)"
"Dat3","-1.866* (0.9137)"
"Dat4","-1.349. (0.7220)"
"Dat5","1.540* (0.6896)"
"GilNK4","1.637*** (0.2478)"
"GilNK5","2.031*** (0.4437)"
"GilNK6","2.158*** (0.5771)"
"GilNK7","0.3003 (0.8193)"
"MachozMegurim2","1.949*** (0.3201)"
"MachozMegurim3","2.048*** (0.3158)"
"MachozMegurim4","3.115*** (0.2553)"
"MachozMegurim5","2.947*** (0.2710)"
"MachozMegurim6","2.643*** (0.3419)"
"MachozMegurim7","-0.1230 (0.3654)"
"TeudaGvohaHigh School (no matriculation)","1.532*** (0.3960)"
"TeudaGvohaMatriculation (Bagrut)","3.057*** (0.6925)"
"TeudaGvohaPost-secondary, non-academic","2.737** (0.8930)"
"TeudaGvohaAcademic Degree (BA/MA/PhD)","5.173*** (1.179)"
"TeudaGvohaOther/No Certificate","1.627. (0.9066)"
"Mother x Post","-0.5385 (0.3391)"
"Mother x WFH_Exposure","-1.295 (1.053)"
"Post x WFH_Exposure","-0.5483 (0.8095)"
"Mother x Post x WFH_Exposure","3.224** (1.022)"
"________________________________________","__________________"
"S.E.: Clustered","by: IDPUF & Mish."
"Observations","246,326"
"R2","0.04094"
"Adj. R2","0.04082"
