"","reg_ddd"
" ","WorkHoursCont (hours DDD)"
"Dependent Var.:","WorkHoursCont"
"  "," "
"Constant","31.49*** (1.034)"
"Mother","-1.893** (0.5351)"
"Post","0.4623 (0.3242)"
"WFH_Exposure","3.768 (3.177)"
"MatzavMishpachti2","3.528*** (0.9527)"
"MatzavMishpachti3","0.4850 (0.4443)"
"MatzavMishpachti4","-1.086. (0.5794)"
"MatzavMishpachti5","-0.2930 (0.3558)"
"Dat2","3.701** (1.290)"
"Dat3","-0.9028 (0.6836)"
"Dat4","-0.2303 (0.5409)"
"Dat5","2.875*** (0.5421)"
"GilNK4","1.599*** (0.3353)"
"GilNK5","1.467** (0.4552)"
"GilNK6","1.512** (0.4831)"
"GilNK7","-0.5398 (0.7813)"
"MachozMegurim2","2.335*** (0.4964)"
"MachozMegurim3","2.224*** (0.3514)"
"MachozMegurim4","2.751*** (0.3324)"
"MachozMegurim5","2.555*** (0.2745)"
"MachozMegurim6","3.445*** (0.3395)"
"MachozMegurim7","-0.0120 (0.7011)"
"TeudaGvohaHigh School (no matriculation)","1.035* (0.4645)"
"TeudaGvohaMatriculation (Bagrut)","1.949** (0.6165)"
"TeudaGvohaPost-secondary, non-academic","2.493*** (0.5878)"
"TeudaGvohaAcademic Degree (BA/MA/PhD)","4.050*** (0.7283)"
"TeudaGvohaOther/No Certificate","0.6242 (0.9338)"
"Mother x Post","-1.132* (0.4848)"
"Mother x WFH_Exposure","-0.8715 (1.352)"
"Post x WFH_Exposure","-1.498. (0.8118)"
"Mother x Post x WFH_Exposure","4.309** (1.192)"
"________________________________________","_________________"
"S.E.: Clustered","by: MishlachYad.."
"Observations","132,046"
"R2","0.04606"
"Adj. R2","0.04584"
