"variable","level","level_label","n_mother0","n_mother1","pct_mother0","pct_mother1","pct_difference","se_pct_difference"
"Dat","1","Jewish",97664,190069,73.0766352902444,79.4951797402706,6.41854445002623,0.362100199620462
"Dat","2","Christian",9514,5330,7.11880639899436,2.22923942366005,-4.88956697533431,0.180126174473668
"Dat","3","Muslim",18410,35595,13.7751971626536,14.8873878583827,1.11219069572907,0.302791881532085
"Dat","4","Druze",2511,3921,1.87884411056074,1.6399339174805,-0.238910193080236,0.115039578416283
"Dat","5","Other",5547,4180,4.15051703754695,1.74825906020619,-2.40225797734076,0.136902876597623
"MachozMegurim","1","Jerusalem",11701,29437,8.75521901141822,12.3118425730358,3.5566235616176,0.26332705271366
"MachozMegurim","2","North",23415,39651,17.5201652125765,16.5837846880947,-0.936380524481816,0.318438057204273
"MachozMegurim","3","Haifa",19216,28508,14.3782829265373,11.923294088124,-2.4549888384133,0.283990520373709
"MachozMegurim","4","Center",32058,63397,23.9872498989869,26.5154018277254,2.52815192873851,0.361750866014448
"MachozMegurim","5","Tel Aviv",28799,35631,21.5487182556904,14.9024446349777,-6.64627362071268,0.325773054183828
"MachozMegurim","6","South",15582,29587,11.6591592715083,12.374579142182,0.715419870673667,0.267085416335031
"MachozMegurim","7","Judea and Samaria",2875,12884,2.1512054232824,5.38865304586043,3.23744762257803,0.146215447959986
"MatzavMishpachti","1","Married",62206,202192,46.5453511515496,84.5655492586629,38.0201981071133,0.346374151349503
"MatzavMishpachti","2","Married, living separately",4781,2014,3.57736108824806,0.842343001735712,-2.73501808651235,0.114790616752357
"MatzavMishpachti","3","Divorced",17543,18419,13.1264684315281,7.70363244735356,-5.4228359841745,0.239947630989305
"MatzavMishpachti","4","Widowed",3674,2359,2.74905346961376,0.986637110771869,-1.76241635884189,0.108435017971854
"MatzavMishpachti","5","Single, never married",45442,14111,34.0017658590605,5.90183818147598,-28.0999276775845,0.308374628907298
"TeudaGvoha","Academic Degree (BA/MA/PhD)","Academic Degree (BA/MA/PhD)",51552,113529,40.2379056807006,47.9701351271412,7.7322294464406,0.385873852448164
"TeudaGvoha","Below High School","Below High School",14570,15692,11.37232863454,6.63044121251046,-4.74188742202958,0.225730970305063
"TeudaGvoha","High School (no matriculation)","High School (no matriculation)",16266,28286,12.6961082751838,11.9518646531399,-0.744243622043946,0.236096973368004
"TeudaGvoha","Matriculation (Bagrut)","Matriculation (Bagrut)",29115,44541,22.7251440078677,18.820193859701,-3.90495014816674,0.291485518046388
"TeudaGvoha","Other/No Certificate","Other/No Certificate",1881,2238,1.46817777361495,0.945636466581596,-0.522541307033353,0.0744353532187234
"TeudaGvoha","Post-secondary, non-academic","Post-secondary, non-academic",14734,32380,11.5003356280929,13.6817286809259,2.18139305283301,0.237499634488398
