"ChildAgeBin","Post","emp_rate","n","Period","se","ci_low","ci_high"
"0–1",0,0.757635146170178,30615,"Pre-2021",0.00493646110522092,0.747959682403945,0.767310609936411
"0–1",1,0.760282911632215,23753,"Post-2021",0.00531459693178606,0.749866301645914,0.770699521618516
"2–4",0,0.784960245874257,29934,"Pre-2021",0.00481718994017689,0.77551855359151,0.794401938157003
"2–4",1,0.789750381250502,24918,"Post-2021",0.00500900199149744,0.779932737347167,0.799568025153837
"5–9",0,0.782250983707847,30751,"Pre-2021",0.00515656059613994,0.772144124939413,0.792357842476281
"5–9",1,0.82586246462174,26146,"Post-2021",0.00465792753612113,0.816732926650942,0.834992002592537
"10–14",0,0.771888100612706,24808,"Pre-2021",0.00565294984801672,0.760808318910593,0.782967882314818
"10–14",1,0.810855117412494,22570,"Post-2021",0.00532496276396193,0.800418190395129,0.82129204442986
"15–17",0,0.750218213558336,13748,"Pre-2021",0.00767161773151777,0.735181842804561,0.765254584312111
"15–17",1,0.787377657779278,11852,"Post-2021",0.00757490571112772,0.772530842585467,0.802224472973088
