"","additive","fe"
" ","Placebo Spec 1: additive controls","Placebo Spec 2: interacted cell FE"
"Dependent Var.:","Employed","Employed"
"  "," "," "
"Constant","0.6073*** (0.0447)","  "
"Mother","0.0883*** (0.0264)","0.0785** (0.0262)"
"Post","-0.0477* (0.0197)","-0.0471* (0.0204)"
"WFH_Exposure","-0.1700 (0.1934)","  "
"MatzavMishpachti2","-0.0186 (0.0152)","-0.0201 (0.0153)"
"MatzavMishpachti3","-0.0458*** (0.0075)","-0.0478*** (0.0077)"
"MatzavMishpachti4","-0.1141*** (0.0289)","-0.1158*** (0.0295)"
"MatzavMishpachti5","-0.0784*** (0.0128)","-0.0880*** (0.0113)"
"Dat2","0.0292** (0.0100)","0.0271** (0.0095)"
"Dat3","-0.0312* (0.0134)","-0.0428*** (0.0115)"
"Dat4","-0.0380* (0.0153)","-0.0427** (0.0150)"
"Dat5","0.0185. (0.0100)","0.0179. (0.0099)"
"GilNK4","0.0603** (0.0199)","  "
"GilNK5","0.0788*** (0.0190)","  "
"GilNK6","0.0638** (0.0199)","  "
"GilNK7","0.0037 (0.0207)","  "
"MachozMegurim2","0.0716** (0.0222)","  "
"MachozMegurim3","0.0918*** (0.0204)","  "
"MachozMegurim4","0.1203*** (0.0220)","  "
"MachozMegurim5","0.0995*** (0.0237)","  "
"MachozMegurim6","0.0750*** (0.0220)","  "
"MachozMegurim7","0.0271 (0.0341)","  "
"TeudaGvohaHigh School (no matriculation)","0.0384. (0.0216)","  "
"TeudaGvohaMatriculation (Bagrut)","0.1613*** (0.0188)","  "
"TeudaGvohaPost-secondary, non-academic","0.2048*** (0.0214)","  "
"TeudaGvohaAcademic Degree (BA/MA/PhD)","0.2639*** (0.0351)","  "
"TeudaGvohaOther/No Certificate","0.0476. (0.0274)","  "
"Mother x Post","-0.0028 (0.0220)","-0.0103 (0.0226)"
"Mother x WFH_Exposure","-0.3805*** (0.1121)","-0.3114** (0.1087)"
"Post x WFH_Exposure","0.1319. (0.0738)","0.1393. (0.0760)"
"Mother x Post x WFH_Exposure","0.0444 (0.0833)","0.0661 (0.0849)"
"Fixed-Effects:","-------------------","-------------------"
"GilNK-TeudaGvoha-MachozMegurim","No","Yes"
"________________________________________","___________________","___________________"
"S.E.: Clustered","by: GilNK,TeudaGv..","by: GilNK,TeudaGv.."
"Observations","331,788","331,788"
"R2","0.09355","0.11404"
"Within R2","--","0.01203"
