"","reg_employed"
" ","Employed"
"Dependent Var.:","Employed"
"  "," "
"Constant","0.5895*** (0.0090)"
"Mother","0.0056 (0.0042)"
"Post","-0.0191*** (0.0046)"
"MatzavMishpachti2","-0.0185 (0.0143)"
"MatzavMishpachti3","-0.0460*** (0.0064)"
"MatzavMishpachti4","-0.1143*** (0.0296)"
"MatzavMishpachti5","-0.0766*** (0.0046)"
"Dat2","0.0299*** (0.0074)"
"Dat3","-0.0275*** (0.0046)"
"Dat4","-0.0352** (0.0108)"
"Dat5","0.0201** (0.0075)"
"GilNK4","0.0587*** (0.0051)"
"GilNK5","0.0784*** (0.0051)"
"GilNK6","0.0693*** (0.0053)"
"GilNK7","0.0090 (0.0064)"
"MachozMegurim2","0.0841*** (0.0058)"
"MachozMegurim3","0.0932*** (0.0059)"
"MachozMegurim4","0.1175*** (0.0054)"
"MachozMegurim5","0.0938*** (0.0059)"
"MachozMegurim6","0.0838*** (0.0062)"
"MachozMegurim7","0.0273** (0.0084)"
"TeudaGvohaHigh School (no matriculation)","0.0279*** (0.0060)"
"TeudaGvohaMatriculation (Bagrut)","0.1458*** (0.0058)"
"TeudaGvohaPost-secondary, non-academic","0.1850*** (0.0059)"
"TeudaGvohaAcademic Degree (BA/MA/PhD)","0.2127*** (0.0055)"
"TeudaGvohaOther/No Certificate","0.0347* (0.0139)"
"Mother x Post","0.0077 (0.0054)"
"________________________________________","___________________"
"S.E.: Clustered","by: IDPUF"
"Observations","331,788"
"R2","0.09209"
"Adj. R2","0.09202"
