"","reg_es"
" ","WorkHoursCont (hours DDD event study)"
"Dependent Var.:","WorkHoursCont"
"  "," "
"Constant","32.23*** (1.413)"
"Mother","-1.543** (0.4782)"
"WFH_Exposure","1.614 (3.617)"
"ShnatSeker = 2017","-0.2439 (0.4902)"
"ShnatSeker = 2018","-0.0074 (0.3310)"
"ShnatSeker = 2021","0.2338 (0.3717)"
"ShnatSeker = 2022","-0.0184 (0.2953)"
"ShnatSeker = 2023","-0.3429 (0.4120)"
"Mother x ShnatSeker = 2017","0.1479 (0.4888)"
"Mother x ShnatSeker = 2018","0.1149 (0.4033)"
"Mother x ShnatSeker = 2021","-0.3398 (0.4427)"
"Mother x ShnatSeker = 2022","-0.7465* (0.3668)"
"Mother x ShnatSeker = 2023","-0.2496 (0.3442)"
"WFH_Exposure x ShnatSeker = 2017","-0.9310 (1.811)"
"WFH_Exposure x ShnatSeker = 2018","-0.5913 (1.376)"
"WFH_Exposure x ShnatSeker = 2021","-1.017 (1.094)"
"WFH_Exposure x ShnatSeker = 2022","-0.7462 (1.060)"
"WFH_Exposure x ShnatSeker = 2023","-1.355 (1.100)"
"MotherWFH x ShnatSeker = 2017","0.5866 (2.237)"
"MotherWFH x ShnatSeker = 2018","0.3134 (1.745)"
"MotherWFH x ShnatSeker = 2021","3.011* (1.233)"
"MotherWFH x ShnatSeker = 2022","3.545** (1.085)"
"MotherWFH x ShnatSeker = 2023","4.020** (1.340)"
"MatzavMishpachti2","2.975* (1.300)"
"MatzavMishpachti3","0.8344* (0.3981)"
"MatzavMishpachti4","-1.042* (0.5033)"
"MatzavMishpachti5","0.1791 (0.3147)"
"Dat2","2.075 (1.242)"
"Dat3","-1.867* (0.9107)"
"Dat4","-1.344. (0.7139)"
"Dat5","1.545* (0.6869)"
"GilNK4","1.630*** (0.2462)"
"GilNK5","2.022*** (0.4429)"
"GilNK6","2.152*** (0.5775)"
"GilNK7","0.2955 (0.8195)"
"MachozMegurim2","1.943*** (0.3173)"
"MachozMegurim3","2.046*** (0.3137)"
"MachozMegurim4","3.109*** (0.2509)"
"MachozMegurim5","2.939*** (0.2669)"
"MachozMegurim6","2.635*** (0.3398)"
"MachozMegurim7","-0.1244 (0.3593)"
"TeudaGvohaHigh School (no matriculation)","1.519*** (0.3950)"
"TeudaGvohaMatriculation (Bagrut)","3.046*** (0.6910)"
"TeudaGvohaPost-secondary, non-academic","2.727** (0.8918)"
"TeudaGvohaAcademic Degree (BA/MA/PhD)","5.160*** (1.178)"
"TeudaGvohaOther/No Certificate","1.614. (0.9038)"
"Mother x WFH_Exposure","-1.584 (1.771)"
"________________________________________","_________________"
"S.E.: Clustered","by: MishlachYad.."
"Observations","246,326"
"R2","0.04120"
"Adj. R2","0.04103"
