"occupation_code","label","estimate","std_error","p_value","n","n_clusters","n_rows_dropped","delta","delta_in_se","moves_over_1se"
11,"Chief executives and legislators",3.19165872388908,1.02252621749924,0.00343249970144135,244846,39,1571,-0.0323829350563756,-0.0316774447108947,FALSE
12,"Administrative and commercial managers",3.20478931712478,1.02056302124549,0.00326207955846897,241232,39,5524,-0.0192523418206747,-0.0188329128449275,FALSE
13,"Production and specialised services managers",3.36433556883958,1.02108807494731,0.00213822573373025,238824,39,8144,0.140293909894126,0.137237485305442,FALSE
14,"Hospitality, retail and other services managers",3.42093620159176,1.0034519853061,0.00155609835896067,244229,39,2279,0.196894542646305,0.192605024149201,FALSE
21,"Science and engineering professionals",2.41549506569345,0.961425132956107,0.0163552486047479,235162,39,12241,-0.808546593252004,-0.790931703977215,FALSE
22,"Health professionals",3.30510666423947,1.04747541805719,0.00313159654288978,232026,39,15921,0.0810650052940218,0.079298933797052,FALSE
23,"Teaching professionals",2.82928076440476,1.13031922047179,0.016728510174626,212196,39,42455,-0.394760894540696,-0.386160685838581,FALSE
24,"Business and administration professionals",3.24326614449456,1.01251483648411,0.0027496223804454,235224,39,12413,0.0192244855491026,0.0188056634464082,FALSE
25,"ICT professionals",3.28708752816806,1.02318841803613,0.002679907536349,238410,39,8818,0.0630458692226057,0.0616723602438313,FALSE
26,"Legal, social and cultural professionals",3.57637738834751,1.40433885969283,0.0150492445385208,229036,39,19369,0.352335729402057,0.344659789743457,FALSE
31,"Science and engineering associate professionals",3.29960618015252,1.02083140399793,0.00253954455154162,244330,39,2190,0.0755645212070704,0.0739182825298267,FALSE
32,"Health associate professionals",3.27918600072599,1.02302512090049,0.00273315636157741,243487,39,3169,0.0551443417805331,0.0539429744348513,FALSE
33,"Business and administration associate professionals",3.58002823312995,0.987863538737276,0.000846392436931321,213595,39,35780,0.355986574184499,0.34823109770373,FALSE
34,"Legal, social and cultural associate professionals",2.90940369745499,1.08143340231036,0.0105482520194268,240144,39,7064,-0.314637961490462,-0.307783300423858,FALSE
35,"ICT technicians",3.57710770402946,0.971443815483083,0.000715830724338919,245216,39,1232,0.353066045084006,0.34537419486443,FALSE
41,"General and keyboard clerks",3.15351843111148,1.03905936396705,0.0043257110922199,235979,39,11531,-0.0705232278339736,-0.0689868181082214,FALSE
42,"Customer services clerks",3.22387197489775,1.02942753819045,0.00333786045536972,239366,39,7780,-0.000169684047705232,-0.000165987333456516,FALSE
43,"Numerical and material recording clerks",3.4775281940847,1.03264147866166,0.00174761405671335,241397,39,5354,0.253486535139245,0.247964110969268,FALSE
44,"Other clerical support workers",3.2531191590067,1.02765712411886,0.00304570822464028,244445,39,2090,0.0290775000612484,0.0284440214859365,FALSE
51,"Personal service workers",3.2546672310441,1.02922313234705,0.00307318611091937,238014,39,9501,0.0306255720986428,0.0299583674304184,FALSE
52,"Sales workers",3.19584575712861,1.02639149590409,0.00350419774800475,235030,39,12495,-0.0281959018168436,-0.0275816296244287,FALSE
53,"Personal care workers",3.35311175954757,1.02271179409093,0.00223592710636958,217523,39,36095,0.129070100602121,0.126258196440052,FALSE
54,"Protective services workers",3.2027842360028,1.02112140764187,0.00329467921948659,245324,39,1112,-0.0212574229426536,-0.0207943115344463,FALSE
61,"Market-oriented skilled agricultural workers",3.22939245396174,1.02275005051636,0.00311256390383933,246012,39,338,0.00535079501628388,0.00523422330287793,FALSE
62,"Market-oriented skilled forestry, fishery and hunting workers",3.21958093164403,1.02276222616468,0.00319478060883277,246318,39,8,-0.00446072730142077,-0.00436354648567641,FALSE
63,"Subsistence farmers, fishers, hunters and gatherers",3.22441620937821,1.02274601232621,0.00315374050747731,246322,39,4,0.000374550432752585,0.000366390526501264,FALSE
71,"Building and related trades workers",3.21665253924925,1.02419011470603,0.00325800780764047,246234,39,113,-0.00738911969619949,-0.0072281413105715,FALSE
72,"Metal, machinery and related trades workers",3.15594232931812,1.02182630908993,0.00374908797102892,246174,39,164,-0.06809932962733,-0.0666157266277204,FALSE
73,"Handicraft and printing workers",3.21653907749328,1.02243931046823,0.0032119444259923,245923,39,467,-0.00750258145217231,-0.00733913120371654,FALSE
74,"Electrical and electronic trades workers",3.24141697692221,1.02261732227059,0.0030115487421217,246241,39,101,0.0173753179767573,0.0169967815945263,FALSE
75,"Food, wood, garment and other craft workers",3.20199779423956,1.02928495038403,0.00353047600336818,244199,39,2378,-0.0220438647058927,-0.0215636199813172,FALSE
81,"Stationary plant and machine operators",3.09170774415065,1.02241095532797,0.00445448642099051,245013,39,1459,-0.132333914794799,-0.129450905607865,FALSE
82,"Assemblers",3.17098545289218,1.03019873703839,0.00385606462424277,245317,39,1105,-0.0530562060532702,-0.0519003305567081,FALSE
83,"Drivers and mobile plant operators",3.2227994603636,1.02174943208553,0.00314102084387606,246128,39,219,-0.00124219858184915,-0.00121513620763449,FALSE
91,"Cleaners and helpers",2.89151044404275,1.05579939861899,0.00933782926121171,239714,39,7212,-0.332531214902701,-0.325286733780886,FALSE
92,"Agricultural, forestry and fishery labourers",3.23747875605341,1.02265053419053,0.00304402618426996,246068,39,288,0.0134370971079534,0.0131443582853468,FALSE
93,"Labourers in mining, construction, manufacturing and transport",3.17947241453362,1.02984878756341,0.00376128763582467,244068,39,2488,-0.0445692444118322,-0.0435982647404965,FALSE
94,"Food preparation assistants",3.22811323324072,1.03194070456834,0.00336968653233444,245474,39,948,0.00407157429526706,0.00398287151550919,FALSE
95,"Street and related sales and service workers",3.2278428425634,1.02332579642069,0.00314042900321436,246307,39,19,0.00380118361795212,0.0037183715337727,FALSE
96,"Refuse workers and other elementary workers",3.22610395000424,1.02277072879664,0.00314032974352412,246167,39,183,0.00206229105879174,0.00201736225820538,FALSE
