"ShnatSeker","series","panel","value","se","n","ci_low","ci_high"
2017,"Mothers","Mean weekly hours",38.3449532430364,0.0667334076015845,30049,38.2141557641373,38.4757507219355
2018,"Mothers","Mean weekly hours",38.6051075823194,0.0691390422901988,29094,38.4695950594306,38.7406201052082
2019,"Mothers","Mean weekly hours",38.6737944841393,0.0682566970715002,28971,38.5400113578792,38.8075776103995
2021,"Mothers","Mean weekly hours",39.1167097329888,0.072812631351013,25542,38.9739969755408,39.2594224904368
2022,"Mothers","Mean weekly hours",38.6420941010133,0.0726251895521708,25462,38.499748729491,38.7844394725355
2023,"Mothers","Mean weekly hours",38.772482552343,0.0725573568561695,25075,38.6302701329049,38.9146949717811
2017,"Non-mothers","Mean weekly hours",39.7184229877256,0.0938272594874144,17679,39.5345215591302,39.9023244163209
2018,"Non-mothers","Mean weekly hours",40.0874250771932,0.0956190483706524,16517,39.9000117423867,40.2748384119997
2019,"Non-mothers","Mean weekly hours",40.3456546275395,0.0939612252316174,15948,40.1614906260855,40.5298186289935
2021,"Non-mothers","Mean weekly hours",40.4848464302665,0.0963573783304996,14749,40.2959859687387,40.6737068917942
2022,"Non-mothers","Mean weekly hours",40.1747708931747,0.100820521401845,14622,39.977162671227,40.3723791151223
2023,"Non-mothers","Mean weekly hours",39.5686389714523,0.100357985203285,14467,39.3719373204538,39.7653406224507
2017,"Gap (mothers - non-mothers)","Mother minus non-mother gap",-1.37346974468918,0.115138622160584,47728,-1.59914144412393,-1.14779804525444
2018,"Gap (mothers - non-mothers)","Mother minus non-mother gap",-1.48231749487382,0.117996650715667,45611,-1.71359093027653,-1.25104405947111
2019,"Gap (mothers - non-mothers)","Mother minus non-mother gap",-1.67186014340019,0.116136508222597,44919,-1.89948769951648,-1.4442325872839
2021,"Gap (mothers - non-mothers)","Mother minus non-mother gap",-1.36813669727766,0.120774267304693,40291,-1.60485426119486,-1.13141913336046
2022,"Gap (mothers - non-mothers)","Mother minus non-mother gap",-1.53267679216139,0.124254560050039,40084,-1.77621572985947,-1.28913785446331
2023,"Gap (mothers - non-mothers)","Mother minus non-mother gap",-0.796156419109302,0.123839796624576,39542,-1.03888242049347,-0.553430417725133
