"","reg_pretrend_hours"
"Dependent Var.:","WorkHoursCont"
" "," "
"Constant","32.61*** (0.3367)"
"Mother","-1.930*** (0.1963)"
"ShnatSeker = 2017","-0.5178* (0.2110)"
"ShnatSeker = 2018","-0.1566 (0.1802)"
"ShnatSeker = 2021","-0.0079 (0.2131)"
"ShnatSeker = 2022","-0.1978 (0.2178)"
"ShnatSeker = 2023","-0.6746** (0.2172)"
"Mother x ShnatSeker = 2017","0.3515 (0.2570)"
"Mother x ShnatSeker = 2018","0.2013 (0.2191)"
"Mother x ShnatSeker = 2021","0.3923 (0.2612)"
"Mother x ShnatSeker = 2022","0.1213 (0.2654)"
"Mother x ShnatSeker = 2023","0.7517** (0.2650)"
"MatzavMishpachti2","3.023*** (0.3067)"
"MatzavMishpachti3","0.8409*** (0.1569)"
"MatzavMishpachti4","-1.044* (0.4077)"
"MatzavMishpachti5","0.1876 (0.1440)"
"Dat2","2.007*** (0.2172)"
"Dat3","-1.951*** (0.1567)"
"Dat4","-1.396*** (0.3690)"
"Dat5","1.528*** (0.2749)"
"GilNK4","1.624*** (0.1531)"
"GilNK5","2.028*** (0.1431)"
"GilNK6","2.150*** (0.1473)"
"GilNK7","0.2818 (0.1965)"
"MachozMegurim2","1.926*** (0.1937)"
"MachozMegurim3","2.024*** (0.1970)"
"MachozMegurim4","3.107*** (0.1740)"
"MachozMegurim5","2.978*** (0.1849)"
"MachozMegurim6","2.622*** (0.1943)"
"MachozMegurim7","-0.1474 (0.2651)"
"TeudaGvohaHigh School (no matriculation)","1.561*** (0.2515)"
"TeudaGvohaMatriculation (Bagrut)","3.045*** (0.2391)"
"TeudaGvohaPost-secondary, non-academic","2.760*** (0.2487)"
"TeudaGvohaAcademic Degree (BA/MA/PhD)","5.229*** (0.2319)"
"TeudaGvohaOther/No Certificate","1.584*** (0.4758)"
"________________________________________","__________________"
"S.E.: Clustered","by: IDPUF"
"Observations","251,857"
"R2","0.04075"
"Adj. R2","0.04062"
