"WFH_Exposure_Q","Mother","Post","mean_hours","sd","n","se"
1,0,0,38.5499562171629,13.1686692464435,11420,0.123227840507744
1,0,1,38.3564025794565,13.0712966824828,8684,0.140268051671931
1,1,0,37.5328603760446,12.4007427037503,22976,0.0818107709658251
1,1,1,37.0222540695473,12.1785850413782,18491,0.0895605256312334
2,0,0,41.0926117728293,10.5491067703766,11586,0.0980051563572313
2,0,1,40.8861736014334,10.7901660956471,10046,0.107654340067008
2,1,0,39.6525300032436,10.368413630907,24664,0.0660207659384138
2,1,1,39.7161104548139,10.3465711319708,20316,0.0725900918227777
3,0,0,39.52943052656,12.3823087098072,17244,0.0942936876126947
3,0,1,39.8612608612926,12.2581907732542,15767,0.0976229308902337
3,1,0,37.2999069231451,12.1091552137035,22562,0.0806167059297034
3,1,1,37.6131451029062,12.1917936485476,19338,0.0876721840191995
4,0,0,41.6646312260536,12.6558521715459,8352,0.138482900287139
4,0,1,41.4327757916241,11.6946167244286,7832,0.132144670858004
4,1,0,39.8366611711547,11.5509231508603,16377,0.090260870978327
4,1,1,41.1562250965488,11.1555242626967,16313,0.0873419868536444
