"","model"
" ","WorkHoursCont (hours DDD placebo, men)"
"Dependent Var.:","WorkHoursCont"
"  "," "
"Constant","41.35*** (1.386)"
"Mother","0.4438 (0.2797)"
"Post","-0.3598 (0.2585)"
"WFH_Exposure","-2.048 (2.948)"
"MatzavMishpachti2","-1.625** (0.5916)"
"MatzavMishpachti3","-1.081*** (0.2730)"
"MatzavMishpachti4","-2.313** (0.6690)"
"MatzavMishpachti5","-2.425*** (0.3518)"
"Dat2","0.6022 (0.5259)"
"Dat3","-1.602* (0.6491)"
"Dat4","-1.141* (0.4986)"
"Dat5","2.343** (0.7063)"
"GilNK4","2.722*** (0.3822)"
"GilNK5","3.271*** (0.5134)"
"GilNK6","3.618*** (0.5177)"
"GilNK7","2.519*** (0.5584)"
"MachozMegurim2","2.961*** (0.4806)"
"MachozMegurim3","3.105*** (0.5244)"
"MachozMegurim4","3.625*** (0.6216)"
"MachozMegurim5","2.965*** (0.5122)"
"MachozMegurim6","3.554*** (0.5411)"
"MachozMegurim7","0.4760 (0.3884)"
"TeudaGvohaHigh School (no matriculation)","0.1587 (0.6273)"
"TeudaGvohaMatriculation (Bagrut)","1.153* (0.4738)"
"TeudaGvohaPost-secondary, non-academic","1.658* (0.6575)"
"TeudaGvohaAcademic Degree (BA/MA/PhD)","2.371* (1.164)"
"TeudaGvohaOther/No Certificate","0.1880 (0.6219)"
"Mother x Post","0.0403 (0.3045)"
"Mother x WFH_Exposure","-0.0541 (0.8476)"
"Post x WFH_Exposure","0.1366 (1.028)"
"Mother x Post x WFH_Exposure","-1.762. (1.015)"
"________________________________________","__________________"
"S.E.: Clustered","by: MishlachYad_.."
"Observations","251,779"
"R2","0.03963"
"Adj. R2","0.03951"
