"","reg_hours"
" ","WorkHoursCont"
"Dependent Var.:","WorkHoursCont"
"  "," "
"Constant","40.96*** (0.3000)"
"Mother","0.4840** (0.1518)"
"Post","-0.3397* (0.1555)"
"MatzavMishpachti2","-1.727** (0.5276)"
"MatzavMishpachti3","-1.078*** (0.2235)"
"MatzavMishpachti4","-2.278*** (0.6875)"
"MatzavMishpachti5","-2.489*** (0.1592)"
"Dat2","0.7241** (0.2451)"
"Dat3","-1.479*** (0.1382)"
"Dat4","-1.031*** (0.2659)"
"Dat5","2.406*** (0.3002)"
"GilNK4","2.673*** (0.1739)"
"GilNK5","3.205*** (0.1720)"
"GilNK6","3.568*** (0.1789)"
"GilNK7","2.482*** (0.2162)"
"MachozMegurim2","3.002*** (0.1889)"
"MachozMegurim3","3.064*** (0.2055)"
"MachozMegurim4","3.608*** (0.1898)"
"MachozMegurim5","2.978*** (0.2070)"
"MachozMegurim6","3.616*** (0.2161)"
"MachozMegurim7","0.5832. (0.3145)"
"TeudaGvohaHigh School (no matriculation)","0.1839 (0.1840)"
"TeudaGvohaMatriculation (Bagrut)","1.080*** (0.1785)"
"TeudaGvohaPost-secondary, non-academic","1.638*** (0.1937)"
"TeudaGvohaAcademic Degree (BA/MA/PhD)","2.138*** (0.1703)"
"TeudaGvohaOther/No Certificate","0.0630 (0.4601)"
"Mother x Post","-0.4002* (0.1883)"
"________________________________________","__________________"
"S.E.: Clustered","by: IDPUF"
"Observations","261,543"
"R2","0.03905"
"Adj. R2","0.03896"
