"","reg_hours"
" ","WorkHoursCont"
"Dependent Var.:","WorkHoursCont"
"  "," "
"Constant","40.73*** (2.825)"
"Mother","-1.139** (0.3936)"
"Post","-1.579*** (0.3940)"
"MatzavMishpachti2","-0.0083 (1.397)"
"MatzavMishpachti3","0.9086 (0.5543)"
"MatzavMishpachti4","-1.374 (0.9966)"
"MatzavMishpachti5","1.342*** (0.3897)"
"Dat2","-8.312** (2.793)"
"Dat3","-9.994*** (2.783)"
"Dat4","-9.394*** (2.794)"
"GilNK4","0.0163 (0.3932)"
"GilNK5","1.256*** (0.3524)"
"GilNK6","1.470*** (0.3797)"
"GilNK7","0.9846. (0.5905)"
"MachozMegurim2","1.969*** (0.3672)"
"MachozMegurim3","1.761*** (0.4301)"
"MachozMegurim4","2.333*** (0.5162)"
"MachozMegurim5","2.873** (1.077)"
"MachozMegurim6","2.380*** (0.6137)"
"TeudaGvohaHigh School (no matriculation)","1.749*** (0.5167)"
"TeudaGvohaMatriculation (Bagrut)","3.106*** (0.4222)"
"TeudaGvohaPost-secondary, non-academic","3.825*** (0.5060)"
"TeudaGvohaAcademic Degree (BA/MA/PhD)","5.243*** (0.3956)"
"TeudaGvohaOther/No Certificate","-2.349. (1.335)"
"Mother x Post","0.1267 (0.4798)"
"________________________________________","__________________"
"S.E.: Clustered","by: IDPUF"
"Observations","26,876"
"R2","0.04065"
"Adj. R2","0.03979"
