"","reg_hours"
" ","WorkHoursCont"
"Dependent Var.:","WorkHoursCont"
"  "," "
"Constant","32.18*** (0.3393)"
"Mother","-1.768*** (0.1469)"
"Post","0.1278 (0.1618)"
"MatzavMishpachti2","2.809*** (0.3244)"
"MatzavMishpachti3","0.8267*** (0.1679)"
"MatzavMishpachti4","-1.200** (0.4319)"
"MatzavMishpachti5","0.1874 (0.1556)"
"Dat2","2.110*** (0.2332)"
"Dat3","-1.527*** (0.1663)"
"Dat4","-1.087** (0.3984)"
"Dat5","1.568*** (0.3001)"
"GilNK4","1.635*** (0.1636)"
"GilNK5","2.075*** (0.1532)"
"GilNK6","2.124*** (0.1584)"
"GilNK7","0.2487 (0.2123)"
"MachozMegurim2","2.004*** (0.2088)"
"MachozMegurim3","2.063*** (0.2122)"
"MachozMegurim4","3.151*** (0.1872)"
"MachozMegurim5","3.070*** (0.1985)"
"MachozMegurim6","2.666*** (0.2086)"
"MachozMegurim7","-0.0449 (0.2852)"
"TeudaGvohaHigh School (no matriculation)","1.758*** (0.2693)"
"TeudaGvohaMatriculation (Bagrut)","3.178*** (0.2566)"
"TeudaGvohaPost-secondary, non-academic","2.848*** (0.2662)"
"TeudaGvohaAcademic Degree (BA/MA/PhD)","5.345*** (0.2487)"
"TeudaGvohaOther/No Certificate","1.807*** (0.5146)"
"Mother x Post","0.0710 (0.1975)"
"________________________________________","__________________"
"S.E.: Clustered","by: IDPUF"
"Observations","213,385"
"R2","0.03936"
"Adj. R2","0.03924"
