"","reg_hours"
" ","WorkHoursCont"
"Dependent Var.:","WorkHoursCont"
"  "," "
"Constant","29.84*** (0.3928)"
"Mother","-2.118*** (0.1646)"
"Post","0.9676*** (0.1709)"
"MatzavMishpachti2","0.2474 (0.5814)"
"MatzavMishpachti3","1.064*** (0.1712)"
"MatzavMishpachti4","-1.611*** (0.4828)"
"MatzavMishpachti5","0.4956** (0.1630)"
"GilNK4","1.701*** (0.1753)"
"GilNK5","2.391*** (0.1638)"
"GilNK6","2.773*** (0.1666)"
"GilNK7","0.7919*** (0.2172)"
"MachozMegurim2","2.231*** (0.2336)"
"MachozMegurim3","2.272*** (0.2249)"
"MachozMegurim4","3.215*** (0.1924)"
"MachozMegurim5","3.158*** (0.2034)"
"MachozMegurim6","2.788*** (0.2136)"
"MachozMegurim7","-0.3177 (0.2762)"
"TeudaGvohaHigh School (no matriculation)","2.071*** (0.3323)"
"TeudaGvohaMatriculation (Bagrut)","3.854*** (0.3235)"
"TeudaGvohaPost-secondary, non-academic","3.149*** (0.3313)"
"TeudaGvohaAcademic Degree (BA/MA/PhD)","5.791*** (0.3165)"
"TeudaGvohaOther/No Certificate","3.149*** (0.5617)"
"Mother x Post","0.9029*** (0.2047)"
"________________________________________","__________________"
"S.E.: Clustered","by: IDPUF"
"Observations","241,738"
"R2","0.03525"
"Adj. R2","0.03517"
