"","reg_hours"
" ","WorkHoursCont"
"Dependent Var.:","WorkHoursCont"
"  "," "
"Constant","32.35*** (0.3182)"
"Mother","-1.739*** (0.1441)"
"Post","-0.0570 (0.1481)"
"MatzavMishpachti2","3.035*** (0.3066)"
"MatzavMishpachti3","0.8443*** (0.1569)"
"MatzavMishpachti4","-1.045* (0.4075)"
"MatzavMishpachti5","0.1863 (0.1441)"
"Dat2","2.005*** (0.2171)"
"Dat3","-1.950*** (0.1568)"
"Dat4","-1.404*** (0.3691)"
"Dat5","1.523*** (0.2751)"
"GilNK4","1.631*** (0.1532)"
"GilNK5","2.036*** (0.1431)"
"GilNK6","2.154*** (0.1474)"
"GilNK7","0.2851 (0.1965)"
"MachozMegurim2","1.932*** (0.1937)"
"MachozMegurim3","2.027*** (0.1970)"
"MachozMegurim4","3.113*** (0.1739)"
"MachozMegurim5","2.986*** (0.1849)"
"MachozMegurim6","2.631*** (0.1943)"
"MachozMegurim7","-0.1455 (0.2652)"
"TeudaGvohaHigh School (no matriculation)","1.576*** (0.2515)"
"TeudaGvohaMatriculation (Bagrut)","3.057*** (0.2391)"
"TeudaGvohaPost-secondary, non-academic","2.770*** (0.2487)"
"TeudaGvohaAcademic Degree (BA/MA/PhD)","5.243*** (0.2319)"
"TeudaGvohaOther/No Certificate","1.597*** (0.4759)"
"Mother x Post","0.2280 (0.1809)"
"________________________________________","__________________"
"S.E.: Clustered","by: IDPUF"
"Observations","251,857"
"R2","0.04049"
"Adj. R2","0.04039"
