"","reg_hours"
" ","WorkHoursCont (year effects)"
"Dependent Var.:","WorkHoursCont"
"  "," "
"Constant","32.48*** (0.3247)"
"Mother","-1.740*** (0.1440)"
"ShnatSeker = 2017","-0.2907* (0.1216)"
"ShnatSeker = 2018","-0.0250 (0.1017)"
"ShnatSeker = 2021","0.0978 (0.1721)"
"ShnatSeker = 2022","-0.2671 (0.1737)"
"ShnatSeker = 2023","-0.3370. (0.1732)"
"MatzavMishpachti2","3.029*** (0.3068)"
"MatzavMishpachti3","0.8424*** (0.1569)"
"MatzavMishpachti4","-1.045* (0.4077)"
"MatzavMishpachti5","0.1884 (0.1440)"
"Dat2","2.008*** (0.2172)"
"Dat3","-1.952*** (0.1568)"
"Dat4","-1.402*** (0.3692)"
"Dat5","1.530*** (0.2750)"
"GilNK4","1.627*** (0.1532)"
"GilNK5","2.029*** (0.1431)"
"GilNK6","2.150*** (0.1474)"
"GilNK7","0.2826 (0.1965)"
"MachozMegurim2","1.927*** (0.1937)"
"MachozMegurim3","2.025*** (0.1970)"
"MachozMegurim4","3.107*** (0.1740)"
"MachozMegurim5","2.978*** (0.1849)"
"MachozMegurim6","2.623*** (0.1943)"
"MachozMegurim7","-0.1478 (0.2652)"
"TeudaGvohaHigh School (no matriculation)","1.564*** (0.2515)"
"TeudaGvohaMatriculation (Bagrut)","3.048*** (0.2391)"
"TeudaGvohaPost-secondary, non-academic","2.763*** (0.2487)"
"TeudaGvohaAcademic Degree (BA/MA/PhD)","5.232*** (0.2319)"
"TeudaGvohaOther/No Certificate","1.591*** (0.4758)"
"Mother x Post","0.2310 (0.1808)"
"________________________________________","__________________"
"S.E.: Clustered","by: IDPUF"
"Observations","251,857"
"R2","0.04068"
"Adj. R2","0.04056"
