"ISCO2","tele_ext","n","realized_wfh","se_clustered","se_na_reason","gap","margin","swap","wfh_exposure_calibrated"
41,1,298,0.0604026845637584,0.0187626566624765,NA,0.939597315436242,0.408735491573722,TRUE,0.0604026845637584
23,0.966101694915254,3610,0.0905817174515235,0.00710970891093933,NA,0.875519977463731,0.363825546975003,TRUE,0.0905817174515235
11,0.9,1392,0.126436781609195,0.0115805310960321,NA,0.773563218390805,0.254514939815472,TRUE,0.126436781609195
12,0.891891891891892,1458,0.132373113854595,0.0126080574064175,NA,0.759518778037297,0.238780369083538,TRUE,0.132373113854595
14,0.772727272727273,1558,0.0494223363286264,0.00731218104152588,NA,0.723304936398646,0.211277468891567,TRUE,0.0494223363286264
24,0.942857142857143,3230,0.228173374613003,0.0112383814132854,NA,0.71468376824414,0.196198275815433,TRUE,0.228173374613003
25,1,7343,0.361024104589405,0.00837155257051983,NA,0.638975895410595,0.125205916801761,TRUE,0.361024104589405
44,0.625,237,0.0421940928270042,0.0200460721324526,NA,0.582805907172996,0.0498330527198003,TRUE,0.0421940928270042
33,0.683673469387755,5008,0.124800319488818,0.00716582509752222,NA,0.558873149898937,0.0470864164971779,TRUE,0.124800319488818
13,0.638297872340426,4527,0.0974155069582505,0.00645039527370141,NA,0.540882365382175,0.0302724093209567,TRUE,0.0974155069582505
35,0.75,1310,0.216030534351145,0.0181502010960962,NA,0.533969465648855,0.00411504154604259,TRUE,0.216030534351145
43,0.526315789473684,1798,0.017797552836485,0.00406480634011346,NA,0.508518236637199,0.00183222518580828,TRUE,0.017797552836485
34,0.576923076923077,1924,0.0852390852390852,0.00963215136983841,NA,0.491683991683992,-0.0241594874320327,FALSE,0.576923076923077
21,0.64367816091954,5313,0.159984942593638,0.00788927208087004,NA,0.483693218325902,-0.0292834794703241,FALSE,0.64367816091954
26,0.677966101694915,3759,0.211758446395318,0.0102846732384512,NA,0.466207655299597,-0.0507091267786799,FALSE,0.677966101694915
51,0.270833333333333,3092,0.0206985769728331,0.00391610575295386,NA,0.2501347563605,-0.256306664390771,FALSE,0.270833333333333
53,0.3,1222,0.0523731587561375,0.0113038392288008,NA,0.247626841243862,-0.270966319710107,FALSE,0.3
96,0.25,269,0.00371747211895911,0.00374638164242772,NA,0.246282527881041,-0.259879721551451,FALSE,0.25
83,0.236842105263158,6017,0.00531826491607113,0.00101671458154762,NA,0.231523840347087,-0.270148506319946,FALSE,0.236842105263158
42,0.291666666666667,754,0.0809018567639257,0.0138631795166851,NA,0.210764809902741,-0.312038091206358,FALSE,0.291666666666667
62,0.178571428571429,19,0,NA,"constant outcome within occupation",0.178571428571429,NA,FALSE,0.178571428571429
61,0.181818181818182,849,0.0247349823321555,0.00633677187169792,NA,0.157083199486026,-0.3533398627103,FALSE,0.181818181818182
52,0.2,2736,0.0453216374269006,0.00655747376791829,NA,0.154678362573099,-0.3561077219377,FALSE,0.2
93,0.12,1154,0.00346620450606586,0.00172819494923277,NA,0.116533795493934,-0.386308832236391,FALSE,0.12
31,0.143939393939394,2211,0.0447761194029851,0.00670389150770023,NA,0.0991632745364089,-0.411863645724721,FALSE,0.143939393939394
54,0.1,2444,0.00613747954173486,0.00156021473675074,NA,0.0938625204582651,-0.408703804410302,FALSE,0.1
73,0.137931034482759,370,0.072972972972973,0.0221498670813781,NA,0.0649580615097856,-0.471475227695512,FALSE,0.137931034482759
75,0.0731707317073171,979,0.0102145045965271,0.00350220918584618,NA,0.06295622711079,-0.442804394370892,FALSE,0.0731707317073171
22,0.101449275362319,1897,0.0495519240906695,0.00866075435589543,NA,0.0518973512716494,-0.462348321942781,FALSE,0.101449275362319
74,0,2314,0.0216076058772688,0.00475827914176932,NA,0.0216076058772688,-0.486219066827118,FALSE,0
71,0.027027027027027,3762,0.00797448165869218,0.00229128714910563,NA,0.0190525453683348,-0.484716286609259,FALSE,0.027027027027027
32,0.0566037735849057,566,0.0424028268551237,0.0127120920235154,NA,0.014200946729782,-0.506708583941238,FALSE,0.0566037735849057
81,0,1215,0.00823045267489712,0.00346798210864127,NA,0.00823045267489712,-0.497473870274704,FALSE,0
82,0,510,0.00784313725490196,0.00471232924971384,NA,0.00784313725490196,-0.499907954602879,FALSE,0
72,0,2806,0.00784034212401996,0.00217456016136098,NA,0.00784034212401996,-0.495736491044419,FALSE,0
94,0,256,0.0078125,0.00778988672623288,NA,0.0078125,-0.505000723435185,FALSE,0
63,0,4,0,NA,"fewer than 2 distinct IDPUF",0,NA,FALSE,0
91,0,682,0,NA,"constant outcome within occupation",0,NA,FALSE,0
92,0,79,0,NA,"constant outcome within occupation",0,NA,FALSE,0
95,0,6,0,NA,"constant outcome within occupation",0,NA,FALSE,0
