"ISCO2","label","external","calibrated","swap","realized_usual_calibration","n_calibration","realized_refweek","se_refweek","n_refweek","realized_usual","se_usual","n_usual","realized_anchor"
11,"Chief executives and legislators",0.9,0.155409115870401,TRUE,0.155409115870401,1821,0.320140105078809,0.0129442629000749,2855,0.156718906302101,0.00940508820874317,2999,0.15874363327674
12,"Administrative and commercial managers",0.891891891891892,0.143074581430746,TRUE,0.143074581430746,2628,0.33583830007774,0.0121237217086932,3859,0.162625520450649,0.00849680926157449,4083,0.197938144329897
13,"Production and specialised services managers",0.638297872340426,0.0969617676987934,TRUE,0.0969617676987934,6879,0.198598598598599,0.00666417910408823,9990,0.101358411703239,0.00470348994981332,10527,0.109649122807018
14,"Hospitality, retail and other services managers",0.772727272727273,0.0657184894556155,TRUE,0.0657184894556155,2039,0.131588256101875,0.00983573747102218,2827,0.0625827814569536,0.00638573866697492,3020,0.0560652395514781
21,"Science and engineering professionals",0.64367816091954,0.64367816091954,FALSE,0.209756618274979,9368,0.349032355609314,0.00739770908784531,13228,0.221576822271021,0.00617106371650976,14117,0.244893661823542
22,"Health professionals",0.101449275362319,0.101449275362319,FALSE,0.0593633495841698,6974,0.0879461976202794,0.0049842339078044,9665,0.0588179399467883,0.00395138614638447,10524,0.0577464788732394
23,"Teaching professionals",0.966101694915254,0.0690073373355163,TRUE,0.0690073373355163,16491,0.184035909445746,0.0040987217504503,20496,0.111876144233065,0.0029678285959212,25126,0.193746381007528
24,"Business and administration professionals",0.942857142857143,0.233084674780788,TRUE,0.233084674780788,7641,0.44927951140376,0.00781328882995504,10479,0.247734402230742,0.00636339517426799,11476,0.276923076923077
25,"ICT professionals",1,0.360383693045564,TRUE,0.360383693045564,10425,0.615316300040989,0.0063100106483487,14638,0.390341018560144,0.00615262440637046,15571,0.451029926156238
26,"Legal, social and cultural professionals",0.677966101694915,0.677966101694915,FALSE,0.214750542299349,9681,0.371103117505995,0.0069445201920699,13344,0.220772121626238,0.00570082566453437,14635,0.232539362131611
31,"Science and engineering associate professionals",0.143939393939394,0.143939393939394,FALSE,0.0590509666080844,2845,0.10570555272542,0.00810089293907276,3926,0.0673031026252983,0.00613400165730083,4190,0.0847583643122677
32,"Health associate professionals",0.0566037735849057,0.0566037735849057,FALSE,0.08,1525,0.0844303222877894,0.0108211061229273,2203,0.0773734838979507,0.0100407943495339,2391,0.0727482678983834
